ctgr,input,probe_asn,measurement_start_time,accessible,blocking,status_code,title,explorer,api
ANON,https://www.purevpn.com/,8452,2018-03-05 9:45:52,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180305T085424Z_AS8452_n6IyV1WMhIIpk7fZqQEmNbLQcvlqBhXHobANJbUTsqvmp0Xntn?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-167300011
ANON,https://psiphon.ca,8452,2018-03-05 11:01:59,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180305T100927Z_AS8452_XmeI14tWlosZHqM3jgrb7p5Ul9soaxAiumLTTenKg1qAWHnUZc?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-167063049
ANON,https://psiphon.ca/,36992,2018-03-06 7:00:58,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180306T065957Z_AS36992_C5bLDOit3p4OQfl6Ym6lPebZ70j2O9lKKxqNBLoI6StkcPcF1S?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-167355497
ANON,https://psiphon.ca/,8452,2018-03-06 8:39:21,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180306T082354Z_AS8452_oROruxPnBdBAdWItRJAJ1oqB6sQc5rAztbjs1yYvxDFmmfOBFC?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-167584144
ANON,https://www.purevpn.com/,8452,2018-03-06 9:11:35,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180306T082354Z_AS8452_oROruxPnBdBAdWItRJAJ1oqB6sQc5rAztbjs1yYvxDFmmfOBFC?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-167584818
ANON,https://psiphon.ca,8452,2018-03-06 11:16:32,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180306T093151Z_AS8452_XWK6Xg2zWzrGcJvcFTgD9u26kisF7Es96gEYnjeFNRgrJt6Sj2?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-167368495
ANON,https://psiphon.ca/,8452,2018-03-07 8:34:05,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180307T082201Z_AS8452_1z9gvM5sq9YdIYLkCoFSN3mfVeNlgVH8jrAC40LnavuCS0T3Lc?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-167855897
ANON,https://www.purevpn.com/,8452,2018-03-07 9:14:27,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180307T082201Z_AS8452_1z9gvM5sq9YdIYLkCoFSN3mfVeNlgVH8jrAC40LnavuCS0T3Lc?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-167856569
ANON,https://psiphon.ca,8452,2018-03-07 10:32:28,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180307T093256Z_AS8452_jQqnihQ72RhhWVNtXRZ8LrAenani8eIt6t9afSsHMbufXuPF0H?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-167638191
ANON,https://psiphon.ca/,8452,2018-03-08 8:45:29,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180308T083200Z_AS8452_cbaRgRTddii41IeKBeMEb16FbJm4Fyj1lgVmvEWy6ELWL7PkL0?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-168147659
