input,blk_cnt,test_cnt,rate
http://www.easy-hide-ip.com,68,159,0.43
http://www.betternet.co,70,165,0.42
http://ikhwanonline.info/,83,196,0.42
http://www.hideipvpn.com,67,158,0.42
http://www.disconnect.me,70,165,0.42
http://www.mod.gov.il,78,187,0.42
http://proxybonanza.com,63,150,0.42
https://freenetproject.org/,79,190,0.42
http://www.eicds.org,85,208,0.41
http://www.northghost.com,71,174,0.41
http://www.proxy-list.org,76,187,0.41
http://masreiat.com,84,205,0.41
http://www.anhri.net,86,212,0.41
https://web.archive.org,59,143,0.41
http://www.unblockallwebsite.com,65,163,0.4
http://www.atozproxy.com,66,166,0.4
http://www.odsh.win,70,175,0.4
http://www.mekameleen.tv,80,200,0.4
http://www.proxyserver.com,66,163,0.4
http://www.avpn.win,70,174,0.4
https://freenetproject.org,57,143,0.4
http://www.hola.org,75,187,0.4
http://www.proxydocker.com,66,165,0.4
http://www.proxtube.com,65,165,0.39
http://www.unblockproxy.xyz,67,170,0.39
http://www.llowll.net,71,182,0.39
http://www.freeproxy.asia,64,164,0.39
http://www.qtv.qa,79,201,0.39
http://www.dacd.win,67,174,0.39
http://www.vpn.ht,59,153,0.39
http://de.lirio.us,92,236,0.39
http://www.uswebproxy.com,69,177,0.39
http://www.bvpn.win,68,174,0.39
http://www.windscribe.com,61,155,0.39
http://www.dolopo.net,71,182,0.39
http://www.top10bestvpn.com,59,152,0.39
http://www.netherlandsproxyserver.club,67,174,0.39
http://www.accessproxy.science,71,184,0.39
http://www.surfweb.gq,69,177,0.39
http://www.genmirror.com,63,163,0.39
http://www.proxycloud.net,69,179,0.39
http://www.venus.com/,81,207,0.39
http://www.ispunblock.com,69,183,0.38
http://www.airvpn.org,61,162,0.38
http://www.helloproxy.science,69,182,0.38
http://www.456proxy.ml,66,176,0.38
https://www.ipvanish.com/,68,178,0.38
http://www.11proxy.pw,70,186,0.38
https://www.ipredator.se/,67,176,0.38
http://www.huffingtonpost.com,73,190,0.38
http://www.gizlenin.com,63,167,0.38
http://www.bitchop.net,62,162,0.38
http://www.ipvanish.com,62,165,0.38
http://www.free-proxy.xyz,69,183,0.38
