,anmly_color,calc_telegram_http_blocking,calc_telegram_tcp_blocking,calc_telegram_web_status,probe_cc,probe_asn,report_id,test_start_time,blocked_endpoints,accessible_endpoints
58,green,False,False,ok,ET,AS24757,20190319T095223Z_AS24757_EANXoEPS1Vb0ucCjbWIZDxywq9KDTz7rJoS2Hb4Y5CoMsnGcjV,2019-03-19 09:52:22,0,10
59,green,False,False,ok,ET,AS24757,20190307T100307Z_AS24757_T0JqgsWE056ZA6XDl4KqAYmuLKyF8DBBGSEjVyQ8YB38qLKgMO,2019-03-07 10:03:04,0,10
60,green,False,False,ok,ET,AS24757,20190306T062933Z_AS24757_zTNFheR0nRFPqlosAqFJjloq9lVtN5qvlyZWB38J2p6Z9QJnAq,2019-03-06 06:29:32,0,10
61,green,False,False,ok,ET,AS24757,20190302T192349Z_AS24757_ZCE1D1OxL6wEkqs090GNJjE4UJCOrI0l3YsBF09n0zhC1lSPjl,2019-03-02 19:23:44,0,10
62,green,False,False,ok,ET,AS24757,20190327T100037Z_AS24757_TYHWv185Q7r38Hu3Rt68HQ2H69LeuzPJQbfoJxhRsqq6RwXRfT,2019-03-27 07:04:52,0,10
63,green,False,False,ok,ET,AS24757,20190329T072627Z_AS24757_i3iC9wPZAhFqhZJMqRzFX43f4oaxwybJ2lfjSQQ57x3VRXBLug,2019-03-29 07:26:25,0,10
64,green,False,False,ok,ET,AS24757,20190308T061552Z_AS24757_wi2wt4yLX1YStn0WdrG49Tm1En3f8kzVCVJyxhrcJPlQTWJ0gk,2019-03-08 06:15:50,0,10
65,green,False,False,ok,ET,AS24757,20190327T192106Z_AS24757_77NzlTygcOeSyv9e4Tfk81zu0DuG8L0Mbxq5sdMWgx4lZQm9Nv,2019-03-27 19:20:59,0,10
66,green,False,False,ok,ET,AS24757,20190328T054117Z_AS24757_GDI1gwCrkTIpJSuUOm35v8HkeY7uJKp5kNIPjhLc0AjPCfvG9q,2019-03-28 05:41:15,0,10
67,green,False,False,ok,ET,AS24757,20190530T141134Z_AS24757_X0yFprzRd3AUdamejT3MUbGPY0Uk5mjezBdp0kg29blF1wWf7R,2019-05-30 14:11:30,0,10
68,green,False,False,ok,ET,AS24757,20190322T060340Z_AS24757_vJE8JQCnsm4Zlgsh2wZRnaUN2Url2MdpiGlAaoAIFRm6dokeqc,2019-03-22 06:03:38,0,10
69,green,False,False,ok,ET,AS24757,20190302T161113Z_AS24757_vMDHDbDeEBTmnWZOzZo0BP4lG7eaOD7GMyaPL0so2M9tQ0H9lg,2019-03-02 16:11:09,0,10
70,green,False,False,ok,ET,AS24757,20190309T125452Z_AS24757_OscvtZCBJnRdVlSIN84k793aVR7UKt9Z3BhrOK33BFrq1VjsFl,2019-03-09 12:54:51,0,10
71,green,False,False,ok,ET,AS24757,20190321T063711Z_AS24757_74GtIfIXPCRySU41zPDglyM4WpPYDOlWuynoPA9DGCUC0YCq4s,2019-03-21 06:37:10,0,10
72,green,False,False,ok,ET,AS24757,20190301T203246Z_AS24757_io9wpiwVHE0LtybgDDGxl43QSTYtxuegUmBOQ4dDWPk3KnCUOH,2019-03-01 20:32:40,0,10
