"tid","report_id","input","probe_cc","probe_asn","test_name","test_start_time","measurement_start_time","filename","scores","platform"
"007ff75d576b549d70adf46a7bc1edda","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.drsalahi.ir/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:16:44","007ff75d576b549d70adf46a7bc1edda.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0041b5cdd54ca10bbe78131d015d286b","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.ymca.int/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:31","0041b5cdd54ca10bbe78131d015d286b.json.lz4","{""blocking_general"":0.000553906,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"008f880097211f9cd280eed3388d3daa","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.voanews.com/persian/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:05","008f880097211f9cd280eed3388d3daa.json.lz4","{""blocking_general"":1.4975206433,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"001cc9d029575a51cce2aa1e87ca7c99","20191123T031617Z_AS16322_Iu45Ku6C6Q1lSKjVtRXur19qDP4SHjUwZTJcXRgAOaOxk4yBYX",,"IR",16322,"ndt","2019-11-23 03:16:15","2019-11-23 03:16:17","001cc9d029575a51cce2aa1e87ca7c99.json.lz4","{}","ios"
"004b47b62ed9fcc66be327698b3b1b54","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://www.humanrightsconnected.org/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:04","004b47b62ed9fcc66be327698b3b1b54.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00df9ada80daba8e395149b72f780d33","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","https://www.army.mil/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:05","00df9ada80daba8e395149b72f780d33.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00e7e1bb3cb7b365707ad086c971b60a","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.pamperedpassions.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:54","00e7e1bb3cb7b365707ad086c971b60a.json.lz4","{""blocking_general"":1.8462365866,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"006fe7384cc2f1587a66e8c5632cf56a","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.bfed.info/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:19","006fe7384cc2f1587a66e8c5632cf56a.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"009962beb1fdccc469ebb3cd95383a1c","20191123T031609Z_AS16322_N8i1IPBIBLbI7sbwt6vckGcJ87r64Pv5H2zPLJi2dyJ6B46LUY",,"IR",16322,"http_header_field_manipulation","2019-11-23 03:16:06","2019-11-23 03:16:09","009962beb1fdccc469ebb3cd95383a1c.json.lz4","{""blocking_general"":1.1,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""msg"":""14 unexpected header change""}","ios"
"00e7e609c3495e638d76d046aab559f4","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.uscg.mil/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:02","00e7e609c3495e638d76d046aab559f4.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"00f0cd1e3fe7be5c7e373bb682db5cad","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.penisbot.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:18:23","00f0cd1e3fe7be5c7e373bb682db5cad.json.lz4","{""blocking_general"":2.4927510228,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"000324b41763217f589dae855b3d90fc","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.ultimate-anonymity.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:11","000324b41763217f589dae855b3d90fc.json.lz4","{""blocking_general"":2.457789503,""blocking_global"":0.0,""blocking_country"":1.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"0007b7b5c41629b09c4071b863b55819","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://mirgaloobayat.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:19:27","0007b7b5c41629b09c4071b863b55819.json.lz4","{""blocking_general"":0.0,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
"002c4ddf119d71617532d857f8f1f446","20191123T031643Z_AS16322_KUgOW2YvdUyzp2PlvbSzun0jyAwxdGki9gDOw6OAJdoAyYVs5k","http://www.kazemjalali.com/","IR",16322,"web_connectivity","2019-11-23 03:16:41","2019-11-23 03:17:15","002c4ddf119d71617532d857f8f1f446.json.lz4","{""blocking_general"":0.5,""blocking_global"":0.0,""blocking_country"":0.0,""blocking_isp"":0.0,""blocking_local"":0.0,""accuracy"":0.0}","ios"
