input,blocking_cnt,msm_cnt,measurement_start_time,probe_asn,blocking,accessible,http_experiment_failure,title_match,dns_consistency,dns_experiment_failure,body_proportion,body_length_match,headers_match,status_code_match,explorer
https://swingers.theadulthub.com/,12,14,2018-10-01 6:29:30,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-10-01 8:08:24,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-10-01 8:30:31,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T082856Z_AS36991_Iu8GXNUPgJgb9hG6EwyzHoROfU6Ou8Mgmf0kEDutk0UZ5MAX13?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-10-01 11:12:32,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T110552Z_AS20294_T3BXxnYUnOhR5ESDNAKWOhkFg5zYdi0tuxnmXP2q5nwwsuE7yf?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-10-02 12:37:10,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-10-03 6:52:34,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://swingers.theadulthub.com/
https://uganda.topescortbabes.com/,13,14,2018-09-27 15:07:57,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T145950Z_AS20294_W3wJwIEoKpPhSbDJ1MMEfs7mWeF60DXdXKY53cVFuNZ1GjJOSK?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-09-27 15:25:24,37063,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T152416Z_AS37063_eokDo0Q8AHmlN6tNyffevyRiQBrxfCunolCDU4DuRpCESywZQh?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-09-28 12:20:08,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://uganda.topescortbabes.com/
https://uganda.topescortbabes.com/,13,14,2018-09-28 12:21:51,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=https://uganda.topescortbabes.com/
