,measurement_start_time,anomaly,confirmed,report_id,probe_cc,probe_asn,test_name,test_runtime,input,domain,blocking,http_experiment_failure,dns_experiment_failure,control_failure,body_simhash,body_sha256,test_ip,client_resolver,control_ip,explorer_url
21,2020-02-21 07:21:01,,,20200221T072007Z_AS138167_k8o7QXNAozLn4R7neBqVxF87ss7pzcZpqwUSBQdEN6hDKL0JjZ,MM,138167,web_connectivity,1.53676,http://voice.yahoo.jajah.com/,voice.yahoo.jajah.com,false,dns_lookup_error,,,,,,74.125.190.144,,https://explorer.ooni.org/measurement/20200221T072007Z_AS138167_k8o7QXNAozLn4R7neBqVxF87ss7pzcZpqwUSBQdEN6hDKL0JjZ?input=http%3A%2F%2Fvoice.yahoo.jajah.com%2F
22,2020-02-21 07:21:14,,,20200221T072100Z_AS133385_zh3O7OFxTtqmLzDkUNT8kbyr1gm9qJKrJLq3aO6uaCIzZW1Tm5,MM,133385,web_connectivity,35.4617,http://kabobfest.com/,kabobfest.com,,dns_lookup_error,,generic_timeout_error,,,,103.255.174.220,,https://explorer.ooni.org/measurement/20200221T072100Z_AS133385_zh3O7OFxTtqmLzDkUNT8kbyr1gm9qJKrJLq3aO6uaCIzZW1Tm5?input=http%3A%2F%2Fkabobfest.com%2F
23,2020-02-21 08:04:36,,,20200221T080436Z_AS133385_p3vCvDWGb0Epg7KHpEzWkDrPdNeN638dDnKCCtYxpztFW6Fz9w,MM,133385,web_connectivity,34.93,http://kabobfest.com/,kabobfest.com,,dns_lookup_error,,generic_timeout_error,,,,103.255.174.220,,https://explorer.ooni.org/measurement/20200221T080436Z_AS133385_p3vCvDWGb0Epg7KHpEzWkDrPdNeN638dDnKCCtYxpztFW6Fz9w?input=http%3A%2F%2Fkabobfest.com%2F
24,2020-02-22 04:43:43,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,72.3636,http://www.wetplace.com/,www.wetplace.com,,generic_timeout_error,,generic_timeout_error,,,['208.94.234.125'],172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwww.wetplace.com%2F
25,2020-02-22 04:42:25,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,2.91168,http://www.malware.com/,www.malware.com,false,dns_lookup_error,,,,,,172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwww.malware.com%2F
26,2020-02-22 04:42:14,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,7.65374,http://www.radicalparty.org/,www.radicalparty.org,false,ssl_error: error:14007086:SSL routines:CONNECT_CR_CERT:certificate verify failed,,,,,['31.31.41.108'],172.253.211.5,['31.31.41.108'],https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwww.radicalparty.org%2F
27,2020-02-22 04:40:17,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,71.4747,http://wkkf.org/,wkkf.org,,generic_timeout_error,,generic_timeout_error,,,['148.59.164.36'],172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwkkf.org%2F
28,2020-02-22 04:38:31,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,71.9599,http://crackspider.net/,crackspider.net,,generic_timeout_error,,generic_timeout_error,,,['109.201.131.14'],172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fcrackspider.net%2F
29,2020-02-22 04:36:39,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,73.6574,http://www.socom.mil/,www.socom.mil,,generic_timeout_error,,generic_timeout_error,,,['209.22.230.8'],172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwww.socom.mil%2F
30,2020-02-22 04:36:58,,,20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ,MM,135307,web_connectivity,54.8688,http://www.videogamereview.com/,www.videogamereview.com,,dns_lookup_error,,generic_timeout_error,,,,172.253.211.5,,https://explorer.ooni.org/measurement/20200222T043621Z_AS135307_N9oCpkdyBxH3Kga64cYN4dak9X7UOAykOyEIObUqMmgHn8u4NQ?input=http%3A%2F%2Fwww.videogamereview.com%2F
