a_probe_asn,input,calc_blockpage,catcode,a_test_start_time
AS23674,http://gatesofvienna.blogspot.com/2010/04/may-20-first-annual-everybody-draw.html,not-blocked,CULTR,53
AS23674,http://www.angelfire.com,id-surf-safe-0,CULTR,63
AS23674,http://www.angelfire.com,not-blocked,CULTR,5
AS23674,http://www.drawmuhammadday.com,id-micronet-0,CULTR,32
AS23674,http://www.drawmuhammadday.com,not-blocked,CULTR,36
AS23674,http://www.zrombesh.org,id-surf-safe-0,CULTR,38
AS23674,http://www.zrombesh.org,not-blocked,CULTR,28
AS45595,http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,not-blocked,CULTR,195
AS45595,http://gatesofvienna.blogspot.com/2010/04/may-20-first-annual-everybody-draw.html,not-blocked,CULTR,195
AS45595,http://www.drawmuhammadday.com,not-blocked,CULTR,38
AS56167,http://www.angelfire.com,not-blocked,CULTR,1
AS9260,http://www.angelfire.com,not-blocked,CULTR,1
AS0,http://adultfriendfinder.com,id-surf-safe-0,DATE,1
AS0,http://www.match.com,id-surf-safe-0,DATE,1
AS23674,http://adultfriendfinder.com,id-micronet-0,DATE,38
AS23674,http://adultfriendfinder.com,not-blocked,DATE,35
AS23674,http://www.datingdirect.com,id-surf-safe-0,DATE,1
AS23674,http://www.datingdirect.com,not-blocked,DATE,60
AS23674,http://www.match.com,id-micronet-0,DATE,34
AS23674,http://www.match.com,not-blocked,DATE,10
AS59257,http://adultfriendfinder.com,id-surf-safe-0,DATE,1
AS59257,http://adultfriendfinder.com,not-blocked,DATE,1
AS0,http://peta.xxx,id-surf-safe-0,ENV,1
AS0,http://peta.xxx,not-blocked,ENV,1
AS23674,http://peta.xxx,id-micronet-0,ENV,34
AS23674,http://peta.xxx,id-surf-safe-0,ENV,27
AS23674,http://peta.xxx,not-blocked,ENV,8
AS38264,http://peta.xxx,not-blocked,ENV,1
AS59257,http://peta.xxx,not-blocked,ENV,1
AS9260,http://peta.xxx,not-blocked,ENV,2
AS23674,http://www.betfair.com,id-micronet-0,GMB,1
AS23674,http://www.betfair.com,not-blocked,GMB,68
AS36351,http://www.betfair.com,not-blocked,GMB,1
AS45595,http://www.betfair.com,not-blocked,GMB,3
AS23674,http://forum.detik.com/showthread.php?p=10423116,id-surf-safe-0,GRP,1
AS23674,http://forum.detik.com/showthread.php?p=10423116,not-blocked,GRP,73
AS23674,http://www.711chan.org/i/,id-surf-safe-0,GRP,5
AS23674,http://www.711chan.org/i/,not-blocked,GRP,65
AS23674,http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address=389x8208802,id-surf-safe-0,GRP,3
AS23674,http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address=389x8208802,not-blocked,GRP,65
AS23674,http://www.secularstudents.org/drawingtheprophet,id-surf-safe-0,GRP,1
AS23674,http://www.secularstudents.org/drawingtheprophet,not-blocked,GRP,62
AS45595,http://forum.detik.com/showthread.php?p=10423116,not-blocked,GRP,197
AS45595,http://www.711chan.org/i/,not-blocked,GRP,196
AS45595,http://www.democraticunderground.com/discuss/duboard.php?az=view_all&address=389x8208802,not-blocked,GRP,196
AS45595,http://www.secularstudents.org/drawingtheprophet,not-blocked,GRP,195
AS23674,http://www.makeuseof.com,id-surf-safe-0,HACK,4
AS23674,http://www.makeuseof.com,not-blocked,HACK,58
AS45595,http://www.makeuseof.com,not-blocked,HACK,196
AS23674,http://www.rotten.com,id-surf-safe-0,HATE,1
AS23674,http://www.rotten.com,not-blocked,HATE,66
AS23674,http://www.BalochVoice.com,id-micronet-0,HOST,32
AS23674,http://www.BalochVoice.com,id-surf-safe-0,HOST,6
AS23674,http://www.BalochVoice.com,not-blocked,HOST,16
AS23674,http://balochwarna.org,id-micronet-0,HUMR,33
AS23674,http://balochwarna.org,id-surf-safe-0,HUMR,21
AS23674,http://balochwarna.org,not-blocked,HUMR,20
AS23674,http://en.wikipedia.org/wiki/Freedom_of_speech_versus_blasphemy,id-surf-safe-0,HUMR,68
AS23674,http://en.wikipedia.org/wiki/Freedom_of_speech_versus_blasphemy,not-blocked,HUMR,6
AS23674,http://governmentofbalochistan.blogspot.com,id-micronet-0,HUMR,32
AS23674,http://governmentofbalochistan.blogspot.com,not-blocked,HUMR,39
AS23674,http://guerrillagirls.com,id-surf-safe-0,HUMR,3
AS23674,http://guerrillagirls.com,not-blocked,HUMR,67
AS23674,http://lalmasjid.com,id-micronet-0,HUMR,32
AS23674,http://lalmasjid.com,not-blocked,HUMR,39
AS23674,http://www.BalochFront.com,id-micronet-0,HUMR,32
AS23674,http://www.BalochFront.com,not-blocked,HUMR,37
AS23674,http://www.balochunitedfront.org,id-surf-safe-0,HUMR,3
