Measurement Start Time,Websites ,Accessible,Blocking,Control Failure,Dns Experiment Failure,Http Experiment Failure,Dns Consistency,Status Code Match,Headers Match,Title Match,Body Proportion,Body Length Match,Explorer
2018-04-12 18:07:07,http://psiphon.ca,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=http://psiphon.ca
2018-04-12 18:09:36,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=https://psiphon.ca
2018-06-07 19:14:55,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=https://psiphon.ca
2018-06-07 19:19:08,http://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=http://psiphon.ca
2018-06-07 22:47:48,http://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T224120Z_AS24757_EosXWkpmIOOjuCsiO2zwrksubPmahjUQtuEQNKZS4wRuzboNfy?input=http://psiphon.ca
2018-06-07 22:49:48,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T224120Z_AS24757_EosXWkpmIOOjuCsiO2zwrksubPmahjUQtuEQNKZS4wRuzboNfy?input=https://psiphon.ca
2018-06-22 20:05:18,https://psiphon.ca,f,http-failure,,,not_connected,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180622T192757Z_AS24757_rkb3FEigjlMTmrAO6vvUAZr1ZhZ6PfW30zDjq9NRe3Mfo1MdmM?input=https://psiphon.ca
2018-03-29 03:50:42,http://www.queernet.org/,f,dns,,,dns_lookup_error,inconsistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T032433Z_AS24757_e14yxQXLSnTr6Uve5T2czUQFVF3ULVFbpKrhF6AZVrNfidkStP?input=http://www.queernet.org/
2018-03-29 11:53:53,http://www.queernet.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=http://www.queernet.org/
2018-03-30 10:54:07,http://www.queernet.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=http://www.queernet.org/
2018-03-30 11:06:53,http://www.queernet.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T110600Z_AS24757_mIewxq461iGr1VIo3Pg73GNeBhyWY0UB3WayMCgUxofeK4Bvml?input=http://www.queernet.org/
2018-04-03 06:37:21,http://www.queernet.org/,t,false,,,,consistent,t,f,t,1,t,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=http://www.queernet.org/
2018-04-12 18:08:30,http://www.queernet.org/,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=http://www.queernet.org/
2018-06-07 19:28:44,http://www.queernet.org/,t,false,,,,consistent,t,f,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=http://www.queernet.org/
2018-06-07 22:47:01,http://www.queernet.org/,t,false,,,,consistent,t,f,t,1,t,https://explorer.ooni.torproject.org/measurement/20180607T224120Z_AS24757_EosXWkpmIOOjuCsiO2zwrksubPmahjUQtuEQNKZS4wRuzboNfy?input=http://www.queernet.org/
2018-02-24 07:51:56,http://www.samesexmarriage.ca,f,http-failure,,,response_never_received,consistent,,,,,,https://explorer.ooni.torproject.org/measurement/20180224T054510Z_AS24757_AwRSKyGO8e1nyJOso2i81owCjg9kdxHXZlF0JnYyn8rMQsQWpz?input=http://www.samesexmarriage.ca
2018-02-24 07:51:56,http://www.samesexmarriage.ca,f,http-failure,,,response_never_received,consistent,,,,,,https://explorer.ooni.torproject.org/measurement/20180226T130436Z_AS24757_I92qPHDdzidUh6huAbI3iGcLTPae4N7dS9L16h9SFi7AeZczAi?input=http://www.samesexmarriage.ca
2018-06-25 11:00:16,http://www.samesexmarriage.ca,t,false,,,,consistent,t,t,,1,t,https://explorer.ooni.torproject.org/measurement/20180625T122826Z_AS24757_csAuWFuX9SkLE1hcCKlFNhQbcfRNWK5ttP0I1IIxAGr9SbbBs8?input=http://www.samesexmarriage.ca
2018-06-25 14:01:08,http://www.samesexmarriage.ca,t,false,,,,consistent,t,t,,1,t,https://explorer.ooni.torproject.org/measurement/20180625T111810Z_AS24757_vDvB7mXDsZf3Eh8xMWbzyP7SzP1mgUnRhLSQ4vfl2a9T7jsetE?input=http://www.samesexmarriage.ca
2018-01-04 07:29:59,https://www.torproject.org/projects/torbrowser.html.en,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180104T072959Z_AS24757_zZJbi3J0ZU6fqiq2tFMxfhoIpCaXjPpIODASxTkKw5mZMWQywx?input=https://www.torproject.org/projects/torbrowser.html.en
2018-01-04 07:31:58,https://ooni.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180104T072959Z_AS24757_zZJbi3J0ZU6fqiq2tFMxfhoIpCaXjPpIODASxTkKw5mZMWQywx?input=https://ooni.torproject.org/
2018-01-04 07:32:13,https://explorer.ooni.torproject.org/world/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180104T072959Z_AS24757_zZJbi3J0ZU6fqiq2tFMxfhoIpCaXjPpIODASxTkKw5mZMWQywx?input=https://explorer.ooni.torproject.org/world/
2018-01-04 07:33:06,https://explorer.ooni.torproject.org/country/ET,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180104T072959Z_AS24757_zZJbi3J0ZU6fqiq2tFMxfhoIpCaXjPpIODASxTkKw5mZMWQywx?input=https://explorer.ooni.torproject.org/country/ET
2018-01-04 07:33:25,https://www.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180104T072959Z_AS24757_zZJbi3J0ZU6fqiq2tFMxfhoIpCaXjPpIODASxTkKw5mZMWQywx?input=https://www.torproject.org/
2018-01-18 14:18:56,https://ooni.torproject.org/,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180118T141856Z_AS24757_VfPfwgt6dNzyxGWX6TnFMCUVpDi8b9gXSTf3jIybQ6vhI50Y3g?input=https://ooni.torproject.org/
2018-01-18 14:18:59,https://explorer.ooni.torproject.org/country/ET,f,http-failure,,,generic_timeout_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180118T141856Z_AS24757_VfPfwgt6dNzyxGWX6TnFMCUVpDi8b9gXSTf3jIybQ6vhI50Y3g?input=https://explorer.ooni.torproject.org/country/ET
