url,category_code,category_description,explorer_url,domain
https://azatli.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazatli.gitlab.io%2F,azatli.gitlab.io
https://krym.gitlab.io/ktat/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkrym.gitlab.io%2Fktat%2F,krym.gitlab.io
https://blackseango.org/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fblackseango.org%2F,blackseango.org
https://eztv.re/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Feztv.re%2F,eztv.re
https://8kun.top/,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F8kun.top%2F,8kun.top
https://katcr.to/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkatcr.to%2F,katcr.to
https://thepiratebay.org/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fthepiratebay.org%2F,thepiratebay.org
https://www.anonymizer.com/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.anonymizer.com%2F,www.anonymizer.com
https://ikhwanonline.com/,POLR,Political Criticism,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fikhwanonline.com%2F,ikhwanonline.com
https://www.torproject.org/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.torproject.org%2F,www.torproject.org
https://www.limetorrents.lol/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.limetorrents.lol%2F,www.limetorrents.lol
https://azattyq.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fazattyq.gitlab.io%2F,azattyq.gitlab.io
https://pornoelena.net/,PORN,Pornography,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fpornoelena.net%2F,pornoelena.net
https://zona.media/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fzona.media%2F,zona.media
https://novayagazeta.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fnovayagazeta.ru%2F,novayagazeta.ru
https://www.betternet.co/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.betternet.co%2F,www.betternet.co
https://www.eventbrite.com/,CULTR,Culture,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.eventbrite.com%2F,www.eventbrite.com
https://1337x.st/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F1337x.st%2F,1337x.st
https://radiofreel.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fradiofreel.gitlab.io%2F,radiofreel.gitlab.io
https://skiff.com/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fskiff.com%2F,skiff.com
https://www.amnesty.org/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.amnesty.org%2F,www.amnesty.org
https://scontent.cdninstagram.com/robots.txt,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent.cdninstagram.com%2Frobots.txt,scontent.cdninstagram.com
https://cannabisnature.com/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fcannabisnature.com%2F,cannabisnature.com
https://www.bitchute.com/,MMED,Media sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.bitchute.com%2F,www.bitchute.com
https://www.epravda.com.ua/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.epravda.com.ua%2F,www.epravda.com.ua
https://www.tunnelbear.com/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.tunnelbear.com%2F,www.tunnelbear.com
https://www.liga.net/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.liga.net%2F,www.liga.net
https://static.cdninstagram.com/robots.txt,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fstatic.cdninstagram.com%2Frobots.txt,static.cdninstagram.com
http://www.seedjah.com/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.seedjah.com%2F,www.seedjah.com
https://www.obozrevatel.com/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.obozrevatel.com%2F,www.obozrevatel.com
https://current-time.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fcurrent-time.gitlab.io%2F,current-time.gitlab.io
https://www.cia.gov/,GOVT,Government,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.cia.gov%2F,www.cia.gov
https://localbitcoins.com/,ECON,Economics,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flocalbitcoins.com%2F,localbitcoins.com
https://thebell.io/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fthebell.io%2F,thebell.io
https://golosinfo.org/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgolosinfo.org%2F,golosinfo.org
